No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
677,   0,   2,   3,    10,  113,    242,     285,   4674,     5994,     12419,     25280,    88209,    188495,   325726
676,   1,   1,   4,    26,  542,    988,    1424,  19902,    23329,     45777,    103730,   326410,    623176,  1145310
675,   0,   1,   1,    16,  309,    619,     775,  10571,    14304,     27102,     55053,   207219,    386366,   702336
674,   0,   1,   3,    17,  311,    660,     791,  12132,    15047,     29810,     65873,   223232,    451108,   798985
673,   0,   0,   5,    12,  164,    467,     372,   5517,     7467,     16850,     27355,   101859,    221796,   381864
672,   0,   0,   1,    12,  262,    466,     694,  10333,    11039,     20772,     55671,   159731,    299468,   558449
671,   0,   0,   2,    15,  224,    531,     427,   6375,     7180,     14064,     33669,   100837,    200671,   363995
670,   0,   2,   1,    23,  275,    525,     870,  11513,    12626,     21946,     56932,   171397,    301431,   577541
669,   0,   0,   1,     5,  124,    246,     356,   4863,     6083,     11588,     26150,    92256,    172320,   313992
668,   0,   3,   1,    16,  333,    518,     877,  11829,    13398,     23364,     58656,   177274,    317647,   603916
667,   0,   0,   0,     5,  121,    272,     303,   4512,     6151,     12354,     25111,    90629,    180351,   319809
666,   0,   1,   4,     9,  203,    449,     447,   7098,    10103,     22105,     36144,   150222,    329015,   555800
665,   0,   0,   1,     3,  109,    250,     317,   5945,     5976,     11660,     33295,    94050,    182707,   334313
664,   0,   2,   1,    19,  377,    667,     779,  10212,    15734,     29975,     51839,   214105,    404464,   728174
663,   0,   1,   1,    11,  181,    342,     458,   6918,     8069,     15475,     38323,   119080,    228779,   417638
662,   0,   2,   1,    20,  226,    487,     572,   9158,    10904,     21841,     48817,   167441,    324022,   583491
661,   0,   0,   5,    10,  165,    298,     468,   6990,     7356,     14167,     38548,   110848,    210558,   389413
660,   0,   1,   3,    11,  232,    470,     437,   7153,     9870,     21261,     37863,   147218,    314669,   539188
659,   0,   0,   3,    12,  139,    317,     379,   4774,     6297,     15547,     25339,    89939,    229709,   372455
658,   0,   1,   6,    10,  304,    720,     575,   7618,    12582,     29149,     38733,   162764,    388861,   641323
657,   0,   2,   4,    22,  326,    672,     768,  11084,    14421,     31242,     58859,   213051,    467254,   797705
656,   0,   1,   1,    38,  404,    810,    1207,  15618,    17280,     32867,     77664,   241552,    457145,   844587
655,   0,   2,   4,    31,  478,    973,    1681,  22563,    23349,     44418,    116986,   328472,    627760,  1166717
654,   0,   2,   5,    19,  337,    800,     666,   8734,    13259,     29692,     43438,   172145,    379113,   648210
653,   0,   2,   1,    12,  234,    565,     702,   9808,    11337,     23033,     52291,   164830,    332586,   595401
652,   0,   3,   3,    19,  301,    630,     542,   8693,    12860,     28211,     44903,   181468,    391283,   668916
651,   0,   1,   1,     4,  138,    305,     343,   5035,     6862,     14710,     26408,   105024,    219912,   378743
650,   0,   1,   2,    10,  224,    527,     540,   7256,    10413,     23323,     39934,   151266,    338449,   571945
649,   0,   0,   0,     4,  122,    273,     336,   4842,     6039,     11838,     27803,    89961,    178011,   319229
648,   0,   0,   2,    10,  183,    440,     449,   6852,     9608,     20140,     36311,   144348,    304028,   522371
647,   0,   0,   1,    13,  164,    326,     431,   5944,     7171,     13966,     30488,   101707,    192260,   352471
646,   1,   2,   1,    18,  287,    518,     884,  12290,    13372,     23182,     60081,   179492,    316777,   606905
645,   1,   1,   1,    10,  174,    345,     565,   7612,     8118,     14768,     36779,   115040,    206400,   389814
644,   0,   2,   4,    16,  213,    390,     524,   7698,    10073,     19822,     42104,   154508,    296492,   531846
643,   0,   0,   2,     8,  129,    315,     250,   4042,     5962,     14386,     21723,    86175,    206508,   339500
642,   0,   2,   8,    24,  518,   1080,    1118,  15691,    22145,     44181,     80881,   302225,    604531,  1072404
641,   0,   0,   2,     5,  104,    260,     271,   4071,     5362,     11495,     22815,    81621,    173408,   299414
640,   1,   1,   2,     7,  187,    424,     449,   6484,     8608,     17856,     34773,   130642,    280974,   480408
639,   1,   0,   2,     4,  163,    327,     351,   5146,     7460,     13618,     27464,   106840,    194423,   355799
638,   0,   1,   4,    23,  306,    524,     791,  11054,    12438,     23346,     53512,   167448,    315116,   584563
637,   0,   0,   1,    10,  114,    285,     331,   5469,     5814,     11480,     30327,    91467,    182339,   327637
636,   0,   0,   0,    16,  203,    436,     484,   7248,     9939,     22532,     38444,   147205,    339438,   565945
635,   0,   0,   0,     3,  113,    257,     282,   4463,     5838,     11777,     23409,    85390,    176070,   307602
634,   0,   1,   1,     9,  188,    429,     540,   8435,     9436,     18915,     47749,   140980,    280963,   507646
633,   0,   1,   2,    11,  161,    305,     524,   7287,     7461,     13472,     40014,   109068,    198145,   376451
632,   0,   1,   4,    27,  328,    614,     828,  11382,    13276,     25482,     56565,   179169,    338712,   626388
631,   0,   0,   2,    12,  124,    257,     421,   6181,     6594,     12261,     34491,   102193,    187541,   350077
630,   0,   0,   4,    10,  248,    512,     574,   8017,     9903,     20788,     41856,   148562,    311683,   542157
629,   0,   1,   2,     2,  166,    303,     413,   5264,     7793,     14235,     27551,   110300,    205796,   371826
628,   0,   2,   2,    16,  262,    548,     757,  10997,    12459,     25019,     60322,   182983,    365134,   658501
627,   0,   2,   0,     6,  175,    396,     413,   5649,     7934,     17696,     29143,   115599,    256140,   433153
626,   0,   1,   3,    14,  354,    582,     623,   9442,    13869,     25799,     50331,   195264,    357273,   653555
625,   0,   2,   0,     8,  197,    386,     381,   5564,     8172,     17283,     28776,   114070,    243480,   418319
624,   0,   2,   3,     9,  275,    622,     674,   9069,    12540,     28901,     46488,   178158,    395133,   671874
623,   0,   3,   7,    16,  302,    791,     426,   5474,    10543,     24784,     26707,   119463,    270322,   458838
622,   0,   2,   5,    22,  288,    520,    1020,  13218,    13762,     24176,     66967,   193833,    351009,   664822
621,   0,   2,   0,     7,  183,    362,     568,   7173,     8985,     16176,     35518,   123405,    222460,   414839
620,   0,   1,   2,    19,  293,    524,     804,  11603,    12612,     23932,     62218,   185992,    350951,   648951
619,   0,   0,   2,     8,  125,    277,     409,   6176,     6632,     13309,     34629,   101660,    203623,   366850
618,   0,   1,   3,    32,  411,    789,    1084,  16339,    18029,     35422,     87543,   266859,    517330,   943842
617,   0,   1,   1,    10,  204,    389,     524,   7348,     9927,     20337,     39527,   145688,    306917,   530873
616,   0,   1,   1,    12,  359,    681,     770,  11405,    14565,     29834,     59474,   211219,    444509,   772830
615,   0,   0,   0,     9,  211,    413,     481,   6890,     8789,     17492,     38088,   132176,    267415,   471964
614,   0,   5,   3,    23,  535,    856,     878,  11584,    18224,     34272,     57255,   236280,    442524,   802439
613,   0,   0,   1,     8,  149,    308,     355,   5774,     7573,     15468,     30156,   114953,    236217,   410962
612,   0,   2,   4,    16,  292,    542,     813,  11648,    12919,     23820,     64598,   187019,    347513,   649186
611,   0,   0,   3,    12,  183,    397,     478,   6680,     8630,     18438,     33957,   122918,    264427,   456123
610,   0,   2,   8,    54,  886,   1650,    2004,  29585,    39170,     74715,    154946,   559692,   1068457,  1931169
609,   0,   0,   0,    10,  176,    351,     489,   6913,     8643,     15544,     34691,   125905,    223838,   416560
608,   0,   2,   0,    17,  291,    569,     799,  11625,    13431,     24850,     59808,   192121,    357196,   660709
607,   0,   1,   1,    12,  153,    355,     427,   6689,     7789,     15603,     37522,   112944,    226364,   407860
606,   0,   0,   2,    11,  254,    453,     618,   8201,    11074,     20560,     46332,   166490,    306440,   560435
605,   1,   0,   1,     9,  151,    359,     372,   5481,     7702,     16530,     29628,   113953,    242998,   417185
604,   0,   0,   7,    12,  313,    783,     585,   8447,    13081,     32774,     43528,   178786,    435438,   713754
603,   0,   2,   3,    17,  408,    592,     732,   8663,    12931,     21387,     39219,   158084,    274411,   516449
602,   0,   2,   7,    18,  312,    557,     797,  11370,    13690,     26794,     60132,   207469,    397717,   718865
601,   0,   2,   3,    42,  787,   1536,    1709,  24533,    33707,     68932,    124778,   480937,    975370,  1712336
600,   0,   2,   6,    41,  725,   1506,    1712,  24896,    33532,     68731,    129515,   485376,    982384,  1728426
599,   0,   5,   3,    35,  439,   1029,    1104,  16900,    20900,     45032,     89588,   302527,    658828,  1136390
598,   0,   0,   4,    22,  466,   1024,    1236,  17658,    21952,     45765,     94236,   329039,    700121,  1211523
597,   0,   1,   2,    26,  417,    860,    1054,  13902,    18810,     35333,     69562,   256649,    492317,   888933
596,   0,   2,   3,    38,  491,    942,    1389,  21081,    22265,     41339,    110870,   329798,    611605,  1139823
595,   0,   1,   0,     4,  152,    324,     402,   5423,     6521,     13316,     30699,    96669,    200223,   353734
594,   0,   0,   5,    21,  373,    704,     855,  12990,    16485,     34175,     69425,   248487,    518296,   901816
593,   1,   2,   1,    12,  251,    501,     539,   7477,    10973,     22589,     39785,   155516,    325319,   562966
592,   0,   5,   6,    22,  558,    895,    1031,  14169,    22374,     39753,     72567,   290610,    525423,   967413
591,   0,   2,   1,    24,  332,    587,     805,  11202,    13232,     25359,     51460,   174620,    328939,   606563
590,   0,   1,   1,    16,  289,    617,     663,   9284,    13204,     27799,     49435,   193569,    417659,   712537
589,   0,   1,   2,    13,  196,    462,     444,   6449,     8971,     19482,     32848,   128781,    275513,   473162
588,   0,   0,   1,     9,  217,    426,     446,   7758,     9929,     20485,     42732,   152212,    318960,   553175
587,   0,   1,   3,     5,  163,    318,     461,   6606,     7313,     14709,     34563,   106880,    212202,   383224
586,   0,   2,   4,    10,  242,    442,     563,   8776,    11037,     20533,     47963,   172836,    315037,   577445
585,   0,   0,   2,     6,  124,    244,     324,   5794,     6190,     12047,     33618,    95125,    183132,   336606
584,   0,   1,   2,    12,  303,    557,     848,  11400,    13449,     24534,     61040,   190205,    352743,   655094
583,   0,   1,   3,    11,  246,    470,     381,   5323,     9271,     18520,     27533,   117080,    243462,   422301
582,   0,   0,   4,    12,  204,    376,     683,   9669,    10395,     20463,     58238,   160196,    304938,   565178
581,   0,   1,   4,    16,  222,    529,     450,   6707,     7613,     15893,     36381,   110870,    221395,   400081
580,   0,   5,   5,    25,  443,    846,    1000,  12853,    17567,     31757,     64043,   215525,    402986,   747055
579,   0,   2,   1,    16,  154,    308,     360,   5585,     7084,     14358,     28718,   102904,    213416,   372906
578,   0,   2,   2,    18,  276,    532,     904,  13116,    13541,     25066,     71153,   203944,    373669,   702223
577,   0,   1,   2,    12,  195,    386,     485,   6399,     8495,     17079,     32546,   120939,    239088,   425627
576,   0,   2,   2,    45,  590,   1159,    1508,  23571,    26950,     52613,    130969,   400117,    769623,  1407149
575,   0,   0,   3,    23,  424,    855,     941,  12412,    17697,     37791,     65647,   250575,    540376,   926744
574,   0,   1,   4,    22,  570,   1008,    1209,  18865,    25203,     48626,     99394,   369487,    705313,  1269702
573,   0,   1,   0,    15,  163,    338,     451,   6612,     7360,     14916,     34771,   106619,    219899,   391145
572,   0,   0,   2,    14,  294,    671,     619,   8591,    12283,     28292,     44562,   171489,    373110,   639927
571,   0,   0,   1,    10,  193,    397,     498,   6997,     8136,     16340,     35461,   111916,    216183,   396132
570,   0,   2,   2,    17,  293,    633,     596,   9093,    13107,     28578,     46563,   186047,    408530,   693461
569,   0,   2,   0,    17,  164,    353,     546,   7873,     8377,     15739,     42156,   122799,    230627,   428653
568,   0,   1,   1,    12,  317,    565,     700,  10475,    13616,     24157,     54321,   196249,    355016,   655430
567,   0,   0,   2,    20,  250,    441,     628,   8130,     9917,     19365,     37653,   126733,    252880,   456019
566,   0,   0,   4,     7,  207,    475,     531,   7790,    10204,     22268,     41416,   158764,    345344,   587010
565,   0,   1,   3,    17,  348,    624,     588,   7568,    13036,     23313,     38694,   162264,    302008,   548464
564,   0,   2,   5,    21,  401,    657,    1007,  14742,    15677,     29696,     72170,   211908,    403546,   749832
563,   0,   3,   4,    19,  318,    560,     642,   8117,    11480,     20481,     38938,   143777,    258323,   482662
562,   0,   0,   1,    14,  250,    599,     597,   8274,    10794,     29201,     43562,   154095,    412460,   659847
561,   0,   2,   0,     5,  160,    279,     389,   5698,     6881,     12937,     30900,   106382,    197522,   361155
560,   0,   1,   0,    11,  216,    496,     605,   8821,    10989,     24104,     48362,   158568,    341854,   594027
559,   0,   1,   2,     5,  157,    271,     451,   6390,     7375,     14154,     34581,   104264,    206821,   374472
558,   0,   0,   3,    20,  341,    617,     785,  11653,    14482,     26928,     58890,   206834,    383960,   704513
557,   0,   2,   1,     7,  163,    311,     374,   5818,     7129,     13652,     31359,   108121,    212363,   379300
556,   0,   1,   2,    10,  247,    522,     623,   8456,    11877,     25367,     43492,   170141,    369656,   630394
555,   0,   0,   4,    11,  146,    292,     354,   4933,     6449,     14159,     27869,    93096,    211423,   358736
554,   0,   1,   4,    20,  312,    554,     973,  13966,    13951,     24944,     73237,   204870,    365811,   698643
553,   0,   2,   3,    10,  200,    353,     524,   7689,     8652,     16636,     40705,   126343,    240926,   442043
552,   0,   2,   2,    14,  354,    640,     570,   8423,    12955,     28934,     43751,   179596,    402768,   678009
551,   1,   1,   5,    29,  598,   1256,    1509,  21831,    26432,     57217,    112600,   386409,    830238,  1438126
550,   0,   1,   3,    17,  264,    518,     874,  12661,    13495,     25397,     67678,   203097,    376277,   700282
549,   0,   4,   6,    29,  751,   1533,    1726,  24526,    33238,     69809,    128413,   469878,    978015,  1707928
548,   0,   2,   7,    18,  402,    776,     930,  13199,    18120,     37668,     70169,   266529,    559502,   967322
547,   0,   1,   1,    12,  297,    555,     737,  10340,    12385,     23284,     53943,   175263,    326395,   603213
546,   0,   1,   7,    12,  375,    691,     738,  10789,    15826,     33019,     55872,   229453,    480634,   827417
545,   0,   0,   2,     7,  204,    413,     439,   7194,     9023,     18551,     39188,   133210,    267469,   475700
544,   0,   3,   2,    16,  328,    658,     932,  13211,    15422,     28263,     68638,   218241,    404688,   750402
543,   0,   1,   1,    19,  270,    485,     616,   8405,    11291,     20102,     40983,   148713,    275262,   506148
542,   0,   3,   4,    18,  353,    606,     834,  11613,    15043,     27223,     59326,   218702,    397028,   730753
541,   0,   1,   3,    19,  201,    435,     457,   6830,     8775,     17252,     35709,   126420,    245076,   441178
540,   0,   2,   3,    24,  416,    705,     785,  11319,    14958,     27705,     55771,   202555,    386687,   700930
539,   0,   0,   2,    22,  181,    352,     409,   5948,     7582,     15909,     32372,   114120,    236684,   413581
538,   0,   3,   4,    24,  342,    750,     947,  13449,    16845,     31382,     67388,   233744,    442591,   807469
537,   0,   2,   7,    34,  717,   1281,    1624,  21783,    26484,     52625,    103626,   361087,    714793,  1284063
536,   0,   2,   4,    42,  705,   1289,    1808,  24227,    33583,     59919,    122876,   449100,    827863,  1521418
535,   0,   0,   6,    19,  366,    716,     958,  13739,    16099,     32842,     74451,   242752,    492322,   874270
534,   0,   1,   3,    45,  670,   1236,    1555,  21519,    30500,     53941,    104956,   410507,    746598,  1371531
533,   0,   1,   3,    18,  303,    627,     780,  10893,    14503,     27272,     57039,   212270,    399014,   722723
532,   0,   1,   6,    22,  453,   1013,    1056,  14772,    21504,     45298,     76473,   294160,    613862,  1068620
531,   0,   3,   2,    10,  257,    499,     538,   7755,    10202,     21544,     41173,   150071,    322314,   554368
530,   0,   0,   2,    12,  325,    675,     768,  11180,    14927,     31499,     58629,   219570,    468610,   806197
529,   0,   3,   1,    13,  181,    342,     453,   7247,     8133,     16154,     43885,   121206,    243623,   441241
528,   0,   2,   0,    20,  310,    637,     900,  14310,    14413,     29043,     76747,   220679,    438811,   795872
527,   0,   3,   7,    12,  285,    532,     534,   7092,    11514,     21061,     34663,   145003,    272092,   492798
526,   0,   1,   4,    22,  486,    834,    1000,  12345,    19433,     32889,     59466,   253458,    448090,   828028
525,   0,   0,   1,    12,  265,    354,     458,   6161,     9247,     16118,     33456,   129356,    230204,   425632
524,   0,   1,   5,    25,  549,   1079,    1451,  20506,    25194,     49897,    109124,   373350,    737262,  1318443
523,   0,   1,   3,     8,  173,    332,     429,   6136,     7782,     16140,     33398,   118646,    241436,   424484
522,   0,   1,   2,    12,  243,    537,     683,   9741,    12493,     25520,     52479,   187405,    386517,   675633
521,   0,   0,   0,     6,  139,    258,     402,   6458,     7509,     13483,     35516,   113620,    206082,   383473
520,   0,   4,   3,    22,  459,    804,    1013,  13481,    18065,     31251,     65064,   233907,    412747,   776820
519,   0,   0,   4,    12,  168,    364,     447,   6520,     8006,     15117,     34073,   114661,    215521,   394893
518,   1,   4,   1,    17,  327,    594,     941,  13360,    14452,     28717,     70327,   211451,    412903,   753095
517,   0,   2,   1,    13,  198,    445,     424,   5870,     8412,     17811,     31849,   121207,    262492,   448724
516,   0,   0,   3,    19,  295,    577,     617,   9751,    12965,     26750,     54247,   192399,    397046,   694669
515,   0,   0,   2,     8,  175,    312,     424,   6295,     7734,     14740,     32960,   114221,    209847,   386718
514,   0,   3,   3,    38,  533,    910,    1909,  21353,    20437,     37298,     97188,   262481,    477464,   919617
513,   0,   2,   1,    12,  174,    321,     443,   6873,     8561,     16040,     37010,   132862,    243165,   445464
512,   0,   3,   1,    22,  308,    630,     976,  14421,    14900,     28896,     74891,   212658,    417283,   764989
511,   0,   0,   2,     4,  161,    277,     433,   4796,     6335,     13678,     26142,    97258,    209937,   359023
510,   1,   6,   4,    46,  813,   1650,    1878,  26459,    36821,     78213,    139462,   531998,   1128327,  1945678
509,   0,   3,   6,    24,  497,   1047,    1179,  18073,    23220,     45383,     98074,   347794,    676702,  1212002
508,   0,   2,   4,    32,  575,   1213,    1542,  22505,    27777,     56461,    124605,   417294,    839666,  1491676
507,   0,   3,   5,    24,  440,    877,    1017,  15364,    20855,     39491,     81565,   304668,    577888,  1042197
506,   0,   9,  18,    94, 1696,   3615,    4072,  60057,    76892,    160024,    317075,  1133030,   2368907,  4125489
505,   0,   0,   3,    13,  263,    656,     564,   8252,    11062,     26677,     43173,   155612,    359813,   606088
504,   0,   1,   3,    25,  432,    937,     857,  13229,    18883,     41076,     67526,   273233,    594366,  1010568
503,   0,   0,   3,     8,  196,    455,     479,   6831,     9277,     19743,     36434,   138447,    302650,   514523
502,   0,   3,   1,    25,  386,    709,    1067,  16299,    16011,     32034,     86398,   242090,    469646,   864669
501,   0,   1,   3,     7,  231,    388,     469,   6868,     9010,     17497,     35553,   128193,    254766,   452986
500,   0,   2,   0,    11,  221,    475,     607,   9145,    10905,     21983,     51594,   167767,    342262,   604972
499,   0,   2,   1,    15,  226,    447,     511,   7155,     9289,     18320,     36479,   127385,    249609,   449439
498,   0,   1,   7,     9,  263,    761,     664,   8786,    12707,     30869,     46079,   175590,    424103,   699839
497,   0,   0,   2,     5,  173,    413,     338,   4982,     7788,     17931,     25624,   106543,    242818,   406617
496,   0,   0,   0,    18,  250,    480,     889,  14273,    11665,     22374,     79140,   182553,    340979,   652621
495,   0,   0,   4,    10,  176,    350,     393,   5299,     7159,     14749,     27358,   104430,    217390,   377318
494,   0,   1,   3,    42,  361,    661,    1231,  16374,    14580,     27471,     84723,   203683,    379888,   729018
493,   0,   0,   1,     6,  166,    369,     305,   4619,     7080,     15981,     24666,   103074,    228431,   384698
492,   1,   8,  15,    40,  766,   1618,    1537,  22336,    31508,     67005,    116655,   437859,    944345,  1623693
491,   0,   2,   3,    20,  424,    825,     971,  13452,    17907,     34691,     71965,   263595,    506963,   910818
490,   0,   3,   3,    18,  626,   1344,    1230,  17008,    25619,     56614,     89848,   364696,    795868,  1352877
489,   0,   1,   4,    10,  395,    777,     688,  10156,    16030,     33265,     52202,   216502,    455108,   785138
488,   0,   1,   2,    37,  475,    914,    1287,  17668,    18826,     37667,     93985,   270485,    528534,   969881
487,   0,   1,   2,     8,  214,    401,     534,   7331,     9233,     17660,     41878,   138878,    269640,   485780
486,   0,   3,   3,    18,  483,    952,    1055,  15309,    20661,     42421,     79838,   300000,    621885,  1082628
485,   0,   2,   4,    13,  212,    391,     636,   8379,     9583,     17495,     41169,   134103,    243063,   455050
484,   0,   3,   1,    13,  259,    541,     592,   8486,    11888,     26064,     44464,   173712,    382521,   648544
483,   0,   2,   0,    10,  129,    281,     453,   6598,     6530,     12272,     34882,    97464,    182814,   341435
482,   0,   2,   3,     9,  240,    478,     536,   8251,    10476,     21138,     46016,   159655,    320062,   566866
481,   0,   1,   2,     8,  147,    334,     306,   4415,     6604,     15543,     23041,    95894,    219834,   366129
480,   0,   2,   1,    24,  316,    605,     736,  10212,    12869,     27382,     55697,   185480,    392239,   685563
479,   0,   1,   0,     6,  141,    301,     428,   6632,     6998,     13414,     37571,   106896,    200558,   372946
478,   0,   0,   3,     5,  233,    573,     532,   7639,     9593,     25055,     41209,   141314,    377807,   603963
477,   0,   0,   0,     7,  130,    285,     256,   4087,     5838,     12453,     21985,    84286,    189812,   319139
476,   0,   6,   6,    32,  460,    758,    1007,  13270,    16008,     28324,     70619,   217352,    395354,   743196
475,   0,   2,   3,    16,  149,    272,     473,   6861,     7479,     13871,     36641,   112643,    208399,   386809
474,   0,   1,   5,    12,  422,    775,     721,  10535,    15274,     28367,     53616,   209644,    386963,   706335
473,   0,   2,   3,     4,  172,    462,     309,   4590,     7386,     17259,     23368,    99282,    227207,   380044
472,   0,   3,   5,    13,  267,    655,     534,   7847,    11683,     27166,     41537,   161091,    375870,   626671
471,   0,   0,   1,     9,  147,    246,     327,   5076,     6817,     12254,     27587,   105023,    184514,   342001
470,   0,   1,   2,     9,  260,    601,     627,   8663,    12068,     26764,     45944,   174397,    388168,   657504
469,   0,   0,   2,     6,  172,    348,     402,   5508,     7654,     13643,     28827,   106911,    193053,   356526
468,   1,   1,   4,    19,  376,    658,    1091,  15635,    16567,     30333,     77019,   228611,    410852,   781167
467,   0,   0,   1,     3,  172,    296,     377,   5441,     7266,     13996,     29816,   109562,    211616,   378546
466,   0,   1,   1,    13,  262,    475,     648,   9950,    11743,     22790,     54329,   177351,    346508,   624071
465,   0,   1,   1,     7,  159,    332,     421,   5985,     7081,     14926,     32706,   100608,    204548,   366775
464,   1,   0,   1,    13,  397,    799,    1092,  13853,    16689,     31093,     66523,   217290,    418276,   766027
463,   0,   2,   1,    12,  159,    302,     373,   5484,     7265,     13149,     29452,   107864,    196214,   360277
