Day,DD,MMM,YYYY,   Sales  ,   %Chg
Tue,22,Oct,2019,  38623680,  -22.7
Fri,18,Oct,2019,  49955313,  +33.5
Tue,15,Oct,2019,  37430522,  -27.6
Fri,11,Oct,2019,  51683307,  -57.3
Tue, 8,Oct,2019, 121055770,   +4.4
Fri, 4,Oct,2019, 115938989,  +26.2
Tue, 1,Oct,2019,  91887661,  -14.9
Fri,27,Sep,2019, 108020002,  +22.7
Tue,24,Sep,2019,  88057550,   -7.0
Fri,20,Sep,2019,  94688223,  +30.0
Tue,17,Sep,2019,  72822188,  -22.0
Fri,13,Sep,2019,  93317535,  +42.4
Tue,10,Sep,2019,  65545450,  -16.5
Fri, 6,Sep,2019,  78475582,  +29.7
Tue, 3,Sep,2019,  60504067,  -15.9
Fri,30,Aug,2019,  71956813,  +41.6
Tue,27,Aug,2019,  50807465,  -21.0
Fri,23,Aug,2019,  64349624,  +40.7
Tue,20,Aug,2019,  45721550,  -16.1
Fri,16,Aug,2019,  54490631,  +25.2
Tue,13,Aug,2019,  43534870,  -20.6
Fri, 9,Aug,2019,  54797290,  +38.0
Tue, 6,Aug,2019,  39721124,  -20.1
Fri, 2,Aug,2019,  49699420,  +37.6
Tue,30,Jul,2019,  36125595,  -20.0
Fri,26,Jul,2019,  45137081,  +39.0
Tue,23,Jul,2019,  32473241,  -52.0
Fri,19,Jul,2019,  67626361,  +43.3
Tue,16,Jul,2019,  47199779,  -18.6
Fri,12,Jul,2019,  57989379,  +33.5
Tue, 9,Jul,2019,  43437437,  -19.4
Fri, 5,Jul,2019,  53862747,  +35.4
Tue, 2,Jul,2019,  39792481,  -21.7
Fri,28,Jun,2019,  50819062,  +42.3
Tue,25,Jun,2019,  35705734,  -24.1
Fri,21,Jun,2019,  47062543,  +37.1
Tue,18,Jun,2019,  34315303,  -27.2
Fri,14,Jun,2019,  47118936,  -18.0
Tue,11,Jun,2019,  57466722,   N/A 
Fri, 7,Jun,2019,   N/A    ,   N/A 
Tue, 4,Jun,2019,  34401192,  -20.1
Fri,31,May,2019,  43030146,  +17.6
Tue,28,May,2019,  36592774,  -24.0
Fri,24,May,2019,  48169397,  +39.0
Tue,21,May,2019,  34643176,  -23.4
Fri,17,May,2019,  45231571,  +41.3
